"","respid","birth.year","age","years.nk","edu.nk","class.nk","gender","origins","female","years.sk","pride.socialism","pride.politicalinfluence","pride.economics","pride.science","pride.sports","pride.arts","pride.baekdublood","pride.military","pride.revolutionaryhist","pride.groups","pride.juche","pride.socialsecurity","year.survey","weights"
"1",1,2000,19,0,"Secondary School","Middle-low",1,"North Hamgyong",1,12,2,4,3,3,3,4,2,3,2,2,2,3,2016,1.437181996
"2",2,1999,20,3,"<=Elementary","Middle-low",0,"Pyongyang",0,9,2,2,2,3,2,3,2,3,2,2,2,2,2016,1.814814815
"3",3,1999,20,4,"<=Elementary","Middle-low",1,"South Hwanghae",1,12,2,2,2,2,2,2,2,2,2,2,2,2,2016,2.095890411
"4",4,1998,21,5,"<=Elementary","Middle",1,"North Hamgyong",1,12,2,2,2,2,1,1,2,3,2,2,2,2,2016,1.397260274
"5",5,1997,22,7,"<=Elementary","Middle-high",1,"North Hamgyong",1,7,3,3,3,3,3,3,3,3,3,3,3,3,2016,1.397260274
"6",6,1995,24,7,"<=Elementary","Low",0,"Pyongyang",0,9,2,2,2,NA,3,2,3,1,1,1,1,1,2016,1.814814815
"7",7,1994,25,9,"<=Elementary","Middle",0,"North Hwanghae",0,11,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"8",8,2001,18,10,"<=Elementary","Middle",1,"North Hamgyong",1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1.397260274
"9",9,1999,20,10,"<=Elementary","High",1,"North Hamgyong",1,10,3,3,3,2,3,4,2,2,2,2,2,3,2016,1.397260274
"10",10,1988,31,10,"<=Elementary","Low",1,"South Hamgyong",1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1.397260274
"11",11,1999,20,11,"<=Elementary","High",0,"Ryanggang",0,8,3,3,3,3,3,3,3,3,3,3,3,3,2016,3
"12",12,1999,20,11,"<=Elementary","High",0,"Unspecified",0,8,3,2,2,4,3,3,3,4,4,2,3,2,2016,NA
"13",13,1997,22,12,"<=Elementary","High",1,"North Pyongan",1,10,4,NA,2,3,4,4,4,NA,NA,2,4,2,2016,0.698630137
"14",14,1992,27,12,"<=Elementary","Low",1,"North Hamgyong",1,14,3,3,4,3,4,4,3,4,2,3,1,4,2016,1.397260274
"15",15,1991,28,12,"<=Elementary","High",1,"North Hamgyong",1,11,NA,NA,4,4,4,NA,4,NA,NA,NA,NA,NA,2016,1.397260274
"16",16,1990,29,13,"<=Elementary","Low",1,"North Hamgyong",1,3,2,2,2,2,3,3,3,3,3,2,2,2,2016,1.397260274
"17",17,1990,29,13,"Secondary School","High",1,"North Hamgyong",1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1.437181996
"18",18,2002,17,14,"Secondary School","High",1,"Unspecified",1,3,4,2,2,2,2,2,2,4,2,2,2,2,2016,NA
"19",19,1998,21,14,"Secondary School","Middle-high",0,"North Hamgyong",0,4,3,3,3,2,4,3,4,NA,NA,NA,NA,2,2016,3
"20",20,1997,22,14,"Secondary School","High",1,"North Hamgyong",1,8,3,3,3,3,3,4,3,3,3,3,3,3,2016,1.437181996
"21",21,2002,17,15,"Secondary School","Middle",0,"South Pyongan",0,2,3,2,2,4,4,3,2,4,2,2,2,2,2016,1.866666667
"22",22,1992,27,15,"Secondary School","Middle",1,"North Hamgyong",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"23",23,1991,28,15,"Secondary School","Low",1,"Unspecified",1,2,2,2,1,2,4,4,2,2,2,2,2,2,2016,NA
"24",24,1989,30,15,"<=Elementary","Middle-low",0,"Unspecified",0,13,2,2,2,2,4,4,2,2,2,4,2,2,2016,NA
"25",25,1986,33,15,"Secondary School","High",1,"North Hamgyong",1,1,2,3,2,3,4,4,2,3,2,2,2,2,2016,1.437181996
"26",26,1993,26,16,"<=Elementary","Middle",1,"Unspecified",1,1,4,4,4,4,NA,NA,NA,NA,NA,4,4,4,2016,NA
"27",27,1992,27,16,"<=Elementary","Middle-low",1,"North Hamgyong",1,3,3,3,3,4,1,3,1,1,1,4,3,1,2016,1.397260274
"28",28,1992,27,16,"<=Elementary","High",1,"North Hamgyong",1,10,2,2,2,4,4,3,1,1,1,1,1,2,2016,1.397260274
"29",29,1996,23,17,"Secondary School","High",1,"North Hamgyong",1,4,3,2,3,2,4,4,3,2,2,2,1,2,2016,1.437181996
"30",30,1993,26,17,"<=Elementary","Middle-low",0,"South Hwanghae",0,9,2,2,2,2,4,2,2,2,2,2,2,2,2016,3
"31",31,1992,27,17,"Secondary School","Low",1,"South Hamgyong",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"32",32,1991,28,17,"Secondary School","High",1,"North Hamgyong",1,4,3,3,3,3,3,4,3,3,3,3,3,3,2016,1.437181996
"33",33,1991,28,17,"<=Elementary","High",0,"Unspecified",0,11,2,2,2,2,2,4,2,2,2,2,2,2,2016,NA
"34",34,1990,29,17,"Secondary School","Middle",1,"North Hamgyong",1,4,2,2,2,2,2,2,2,3,2,2,2,2,2016,1.437181996
"35",35,1990,29,17,"Secondary School","Middle",1,"North Hamgyong",1,9,2,2,2,2,2,3,2,2,2,2,2,2,2016,1.437181996
"36",36,1989,30,17,"<=Elementary","Low",1,"North Hamgyong",1,1,2,2,2,2,2,2,2,2,3,2,2,3,2016,1.397260274
"37",37,1984,35,17,"Secondary School","Low",0,"North Hamgyong",0,15,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"38",38,1983,36,17,"Secondary School","Middle-low",1,"Ryanggang",1,8,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"39",39,1997,22,18,"Secondary School","Middle",1,"Ryanggang",1,4,2,2,2,3,3,3,2,2,2,2,2,2,2016,3
"40",40,1982,37,18,"Secondary School","Low",1,"North Hamgyong",1,11,2,2,2,3,3,3,3,3,2,2,2,3,2016,1.437181996
"41",41,1981,38,18,"Secondary School","High",0,"North Hamgyong",0,10,3,3,3,3,4,4,3,3,3,3,3,3,2016,3
"42",42,1996,23,19,"Secondary School","Middle",1,"North Pyongan",1,3,3,2,2,2,4,4,3,3,3,3,1,2,2016,0.718590998
"43",43,1994,25,19,"Secondary School","High",1,"Ryanggang",1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,3
"44",44,1994,25,19,"Secondary School","High",1,"Ryanggang",1,5,3,3,3,4,NA,NA,2,NA,2,3,3,3,2016,3
"45",45,1992,27,19,"<=Elementary","High",1,"North Hamgyong",1,4,2,2,2,2,3,2,2,3,2,2,2,2,2016,1.397260274
"46",46,1991,28,19,"Secondary School","Middle",1,"North Hamgyong",1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1.437181996
"47",47,1990,29,19,"Secondary School","Middle-low",1,"Ryanggang",1,6,1,1,1,1,1,1,1,1,1,1,1,1,2016,3
"48",48,1988,31,19,"Secondary School","Low",1,"North Hamgyong",1,9,2,2,2,2,4,NA,2,2,2,2,2,2,2016,1.437181996
"49",49,1982,37,19,"Secondary School","Low",1,"North Hamgyong",1,1,2,2,2,3,4,3,2,4,4,2,3,2,2016,1.437181996
"50",50,1982,37,19,"Secondary School","Low",1,"North Hamgyong",1,3,3,2,2,2,2,3,2,4,2,2,2,2,2016,1.437181996
"51",51,1959,60,19,"University+","Middle-low",0,"North Hamgyong",0,41,3,3,3,3,3,3,2,2,2,3,2,2,2016,3
"52",52,1997,22,20,"Secondary School","Middle-low",1,"Ryanggang",1,1,3,3,3,2,2,2,2,2,2,2,2,2,2016,3
"53",53,1995,24,20,"Secondary School","High",1,"Ryanggang",1,1,3,4,2,4,4,4,4,NA,3,4,4,2,2016,3
"54",54,1993,26,20,"Secondary School","Middle",1,"North Hamgyong",1,6,3,3,3,3,3,3,3,3,3,3,3,3,2016,1.437181996
"55",55,1991,28,20,"Secondary School","Middle",1,"Ryanggang",1,1,2,2,2,2,4,3,2,NA,2,2,2,2,2016,3
"56",56,1991,28,20,"Secondary School","Middle-low",0,"North Hamgyong",0,7,3,3,NA,4,4,4,3,4,3,4,3,4,2016,3
"57",57,1988,31,20,"Secondary School","Middle-low",1,"Ryanggang",1,8,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"58",58,1983,36,20,"Technical Training","High",1,"North Hamgyong",1,12,2,2,2,2,2,3,2,2,2,3,2,2,2016,1.333748443
"59",59,1982,37,20,NA,"Middle-low",1,"North Hamgyong",1,8,2,2,2,2,2,2,2,2,2,2,2,2,2016,NA
"60",60,1982,37,20,"Secondary School","Low",1,"North Hamgyong",1,10,2,2,2,2,2,4,2,3,2,2,2,2,2016,1.437181996
"61",61,1995,24,21,"Technical Training","High",1,"North Hamgyong",1,2,2,2,2,3,2,3,2,4,2,4,2,3,2016,1.333748443
"62",62,1993,26,21,"Secondary School","Middle-high",0,"North Hamgyong",0,5,2,2,2,3,3,2,2,2,2,3,2,2,2016,3
"63",63,1991,28,21,"Secondary School","Middle-low",1,"Unspecified",1,7,3,NA,NA,NA,NA,NA,4,NA,1,2,2,NA,2016,NA
"64",64,1985,34,21,"Secondary School","High",1,"North Hamgyong",1,10,3,3,2,3,3,3,2,3,2,3,2,2,2016,1.437181996
"65",65,1985,34,21,"Secondary School","Middle",1,"North Hamgyong",1,10,3,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"66",66,1982,37,21,"Secondary School","Low",1,"North Hamgyong",1,9,2,2,2,2,2,4,2,3,3,2,2,2,2016,1.437181996
"67",67,1993,26,22,"Secondary School","Low",1,"Ryanggang",1,3,2,1,3,4,4,3,2,2,2,3,2,2,2016,3
"68",68,1993,26,22,"Secondary School","Middle",1,"Ryanggang",1,3,3,4,2,3,4,4,2,3,4,3,3,2,2016,3
"69",69,1993,26,22,"Technical Training","Middle-low",0,"North Hamgyong",0,4,3,3,3,4,4,4,2,3,2,2,2,3,2016,3
"70",70,1993,26,22,"Secondary School","Middle",1,"Ryanggang",1,4,3,2,2,2,2,3,3,3,3,3,2,2,2016,3
"71",71,1992,27,22,"Secondary School","Middle-low",0,"North Hamgyong",0,5,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"72",72,1983,36,22,"Secondary School","Middle",1,"North Hamgyong",1,12,3,2,2,4,4,NA,2,2,2,3,4,2,2016,1.437181996
"73",73,1981,38,22,"Secondary School","Low",1,"North Hamgyong",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2016,1.437181996
"74",74,1980,39,22,"Secondary School","Middle-low",0,"Unspecified",0,15,3,3,3,3,3,3,3,3,3,3,3,3,2016,NA
"75",75,1994,25,23,"Secondary School","Middle",1,"Gangwon",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2016,2.874363992
"76",76,1994,25,23,"Secondary School","Middle",1,"Gangwon",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2016,2.874363992
"77",77,1993,26,23,"Technical Training","Middle",1,"Ryanggang",1,1,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,NA,2016,3
"78",78,1993,26,23,NA,"Middle-low",0,"Ryanggang",0,3,2,2,2,2,2,2,2,2,2,2,2,2,2016,NA
"79",79,1987,32,23,"Secondary School","Middle",1,"North Hamgyong",1,1,3,3,3,4,4,4,4,4,4,3,3,3,2016,1.437181996
"80",80,1982,37,23,"Secondary School","Low",1,"North Hamgyong",1,8,2,2,2,3,3,3,2,2,2,3,2,2,2016,1.437181996
"81",81,1981,38,23,"Secondary School","Low",1,"Unspecified",1,6,2,2,2,2,2,2,2,2,2,2,2,2,2016,NA
"82",82,1978,41,23,"Secondary School","Middle-low",1,"North Hamgyong",1,6,2,2,2,2,2,2,2,3,2,2,2,2,2016,1.437181996
"83",83,1978,41,23,"Secondary School","Low",1,"North Hamgyong",1,13,2,3,3,3,4,4,2,3,2,2,2,3,2016,1.437181996
"84",84,1994,25,24,"Secondary School","Middle-low",1,"Ryanggang",1,NA,2,1,1,3,3,1,1,3,1,3,2,1,2016,3
"85",85,1993,26,24,NA,NA,0,"Unspecified",0,NA,3,4,4,2,3,3,2,2,3,4,3,2,2016,NA
"86",86,1991,28,24,"Secondary School","Middle",1,"Ryanggang",1,1,3,2,2,2,2,2,2,2,2,2,2,2,2016,3
"87",87,1989,30,24,"Secondary School","High",1,"South Hwanghae",1,6,3,3,3,4,4,4,3,3,3,3,2,3,2016,2.155772994
"88",88,1986,33,24,"Secondary School","Middle",1,"North Hamgyong",1,8,4,3,3,3,3,3,3,3,3,3,3,3,2016,1.437181996
"89",89,1980,39,24,"Secondary School","Middle-low",1,"Pyongyang",1,7,4,2,2,2,3,3,2,3,3,3,2,3,2016,0.718590998
"90",90,1980,39,24,"Secondary School","Middle-low",1,"Pyongyang",1,7,2,3,4,2,2,2,1,2,3,3,2,3,2016,0.718590998
"91",91,1979,40,24,NA,"Middle",1,"Unspecified",1,3,2,2,2,NA,NA,4,2,2,2,4,2,3,2016,NA
"92",92,1978,41,24,"Technical Training","Low",1,"North Hamgyong",1,12,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,NA,2016,1.333748443
"93",93,1977,42,24,"Secondary School","Low",1,"North Hamgyong",1,10,3,2,2,2,2,3,2,4,3,3,3,2,2016,1.437181996
"94",94,1977,42,24,"Secondary School",NA,1,"North Hamgyong",1,12,2,2,2,2,3,4,2,3,2,2,2,2,2016,1.437181996
"95",95,1977,42,24,"Secondary School","High",0,"North Hamgyong",0,13,2,3,3,3,3,3,2,2,2,2,2,3,2016,3
"96",96,1976,43,24,"Secondary School","Low",1,"North Hamgyong",1,10,4,4,3,3,3,3,2,2,2,2,2,3,2016,1.437181996
"97",97,1976,43,24,"University+","Middle",0,"Pyongyang",0,19,2,2,2,4,4,4,2,4,2,2,2,3,2016,1.732323232
"98",98,1991,28,25,"Secondary School","High",0,"South Pyongan",0,1,2,2,3,3,2,3,2,3,4,3,3,3,2016,1.866666667
"99",99,1982,37,25,"Technical Training","High",1,"Unspecified",1,12,2,2,2,2,2,2,2,2,2,2,2,2,2016,NA
"100",100,1979,40,25,"Technical Training","Low",1,"Unspecified",1,14,3,2,2,2,4,4,2,3,2,3,2,2,2016,NA
"101",101,1978,41,25,NA,"Low",0,"North Hamgyong",0,13,2,2,2,2,4,4,2,2,2,2,2,2,2016,NA
"102",102,1992,27,26,"Secondary School","Middle-low",1,"Ryanggang",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"103",103,1992,27,26,"Secondary School","High",1,"Ryanggang",1,4,3,3,3,2,2,2,2,2,2,2,2,2,2016,3
"104",104,1991,28,26,"Secondary School","Middle",1,"North Hamgyong",1,2,3,3,2,3,3,2,2,4,2,2,2,2,2016,1.437181996
"105",105,1989,30,26,"Secondary School","High",1,"Ryanggang",1,3,3,3,3,3,3,3,3,3,3,3,3,3,2016,3
"106",106,1988,31,26,"Secondary School","Low",1,"South Hamgyong",1,5,4,3,3,4,4,4,3,NA,3,3,3,3,2016,1.437181996
"107",107,1987,32,26,"Secondary School","Middle-low",0,"North Hamgyong",0,5,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"108",108,1987,32,26,"Secondary School","Middle",0,"Ryanggang",0,6,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"109",109,1987,32,26,"Secondary School","Middle",1,"Ryanggang",1,6,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"110",110,1986,33,26,"Secondary School","Middle-low",1,"North Hamgyong",1,7,2,2,2,3,4,3,2,3,2,2,2,3,2016,1.437181996
"111",111,1982,37,26,"Secondary School","Low",1,"North Hamgyong",1,2,3,2,2,2,3,2,2,4,2,2,3,2,2016,1.437181996
"112",112,1975,44,26,"Technical Training","Middle-high",1,"North Hamgyong",1,8,NA,NA,NA,NA,4,NA,2,2,2,NA,1,4,2016,1.333748443
"113",113,1974,45,26,"Secondary School","Middle",1,"South Hamgyong",1,NA,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"114",114,1974,45,26,"Secondary School","High",0,"North Hamgyong",0,15,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"115",115,1974,45,26,"Technical Training","Middle-high",1,"Pyongyang",1,19,2,2,2,2,2,2,2,2,2,2,2,2,2016,0.666874222
"116",116,1992,27,27,"Secondary School","Middle-high",1,"North Hamgyong",1,NA,2,2,2,3,3,2,2,2,2,3,2,2,2016,1.437181996
"117",117,1984,35,27,"Secondary School","High",1,"North Hamgyong",1,1,4,4,4,3,4,4,2,4,1,2,2,2,2016,1.437181996
"118",118,1981,38,27,"Secondary School","Middle",1,"North Hamgyong",1,3,2,2,2,3,2,4,2,4,2,2,2,2,2016,1.437181996
"119",119,1980,39,27,"Secondary School","Low",0,"South Hamgyong",0,12,3,2,2,4,3,2,2,4,3,2,2,2,2016,3
"120",120,1976,43,27,"Secondary School","Middle",1,"North Hamgyong",1,16,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.437181996
"121",121,1974,45,27,"Secondary School","Low",1,"Unspecified",1,10,2,2,2,2,2,2,2,2,2,2,2,2,2016,NA
"122",122,1973,46,27,"Secondary School","Low",1,"North Hamgyong",1,11,3,4,3,3,3,3,3,3,3,3,3,4,2016,1.437181996
"123",123,1973,46,27,"University+","Low",0,"South Hamgyong",0,11,2,2,2,2,2,2,2,2,2,2,2,2,2016,3
"124",124,1971,48,27,"Technical Training","Middle-low",0,"Pyongyang",0,13,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.732323232
"125",125,1989,30,28,"Secondary School","Middle",1,"South Hwanghae",1,1,4,2,2,2,2,2,2,4,2,2,2,2,2016,2.155772994
"126",126,1989,30,28,"Technical Training","Middle-low",1,"Ryanggang",1,2,3,2,2,2,2,2,2,2,2,NA,2,2,2016,3
"127",127,1988,31,28,"Technical Training","Middle-low",1,"Ryanggang",1,2,3,3,2,3,3,3,3,4,4,2,2,3,2016,3
"128",128,1988,31,28,"Secondary School","Middle",1,"Ryanggang",1,2,3,3,2,4,4,4,3,2,2,2,2,2,2016,3
"129",129,1987,32,28,"<=Elementary","Middle",1,"North Hamgyong",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2016,1.397260274
